log;bucket;fm_classification_accuracy;fm_mae;classic_rf_accuracy;classic_rf_mae;
receipt;1;0.6500;428.8549;0.4545;227.3142;
receipt;2;0.7500;187.0030;0.7937;97.6401;
receipt;3;0.9250;90.5578;0.9091;78.4599;
receipt;4;0.9500;35.3194;0.9580;35.7727;
receipt;5;1.0000;9.8451;0.9579;24.2741;
roadtraffic;1;0.7500;5174.5992;0.8139;5966.1667;
roadtraffic;2;0.9000;4617.1030;0.9651;5422.2444;
roadtraffic;3;0.8750;4531.9472;0.9917;5424.1588;
roadtraffic;4;0.8750;3961.1692;0.9936;3792.8670;
roadtraffic;5;1.0000;3827.2507;0.9862;54.9409;
sepsis;1;0.3000;1048.6443;0.3016;1194.7039;
sepsis;2;0.3500;670.6782;0.4215;697.0538;
sepsis;3;0.6500;616.8495;0.5467;534.9906;
sepsis;4;0.8500;1202.8355;0.7686;347.5274;
sepsis;5;1.0000;793.4446;0.9523;137.7087;
